RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Denver,1176,392,909,303,267,89,58,19.3
2,San Francisco,1004,334.7,550,183.3,454,151.3,63,21
3,Seattle,926,308.7,502,167.3,424,141.3,89,29.7
4,Indianapolis,922,461,753,376.5,169,84.5,67,33.5
5,New Orleans,843,421.5,550,275,293,146.5,41,20.5
6,New England,739,369.5,441,220.5,298,149,59,29.5
7,LA Chargers,577,288.5,316,158,261,130.5,44,22
8,Kansas City,513,513,363,363,150,150,44,44
9,Cincinnati,439,439,326,326,113,113,10,10
10,Carolina,325,325,232,232,93,93,10,10
11,Green Bay,281,281,157,157,124,124,20,20
12,Philadelphia,256,256,176,176,80,80,24,24